InscClaimAmtReimbursed_sum,InscClaimAmtReimbursed_mean,InscClaimAmtReimbursed_std,InscClaimAmtReimbursed_count,DeductibleAmtPaid_sum,DeductibleAmtPaid_mean,TotalClaims,UniqueBeneficiaries,InpatientClaims,OutpatientClaims,ClaimsPerBeneficiary,InpatientRatio,UniqueAttendingPhysicians,UniqueOperatingPhysicians,UniqueOtherPhysicians,TotalUniquePhysicians,AvgClaimDuration,MaxClaimDuration,AvgHospitalStay,MaxHospitalStay,TotalClaimsWithDates,TotalStaysWithDates,UniqueDiagnoses,UniqueProcedures,AvgMaleRatio,MostCommonRace,AvgRenalDiseaseRate,UniqueStates,UniqueCounties,AvgPartACoverage,AvgPartBCoverage,AvgBeneIPReimbursement,AvgBeneOPReimbursement
25220,240.19,463.47,105,260.0,2.48,105,91,0,105,1.15,0.0,1,1,1,3,1.6,20,0.0,0,105,0,211,0,0.352,1,0.143,2,2,11.868,12.0,3499.121,2026.154
8320,594.29,756.54,14,0.0,0.0,14,8,0,14,1.75,0.0,1,1,1,3,0.5714285714285714,7,0.0,0,14,0,47,0,0.375,1,0.25,1,1,12.0,12.0,4662.5,3138.75
36470,253.26,511.53,144,120.0,0.83,144,108,0,144,1.33,0.0,5,4,5,14,0.8472222222222222,20,0.0,0,144,0,271,0,0.352,1,0.204,2,3,12.0,11.852,3988.056,1721.759
148550,6189.58,10544.45,24,16020.0,667.5,24,21,15,9,1.14,0.625,3,2,3,8,4.75,16,5.466666666666667,12,24,15,107,10,0.333,1,0.238,2,5,12.0,12.0,7865.238,1417.143
454360,5163.18,8555.73,88,47052.0,553.55,88,84,47,41,1.05,0.534,52,22,18,92,2.909090909090909,21,5.042553191489362,21,88,47,273,29,0.464,1,0.19,9,27,11.857,11.94,10775.0,1558.452
19470,223.79,444.85,87,520.0,5.98,87,52,0,87,1.67,0.0,1,1,1,3,1.2413793103448276,20,0.0,0,87,0,171,0,0.481,1,0.192,1,1,11.769,11.769,5075.769,1536.731
20190,2243.33,3011.68,9,3304.0,367.11,9,6,3,6,1.5,0.333,2,2,1,5,2.555555555555556,14,7.666666666666667,14,9,3,41,1,0.667,1,0.0,1,3,12.0,12.0,6666.667,681.667
85980,677.01,2184.16,127,5560.0,43.78,127,54,5,122,2.35,0.039,13,8,10,31,1.3858267716535433,20,6.6,13,127,5,264,2,0.463,1,0.222,1,7,12.0,11.889,3100.0,1546.481
21720,305.92,644.05,71,190.0,2.68,71,65,0,71,1.09,0.0,35,11,21,67,1.7887323943661972,20,0.0,0,71,0,147,0,0.446,1,0.215,4,21,11.631,11.815,2365.538,3096.769
68000,7555.56,4447.22,9,9612.0,1068.0,9,9,9,0,1.0,1.0,2,2,1,5,6.444444444444445,16,6.444444444444445,16,9,9,57,4,0.444,1,0.333,1,2,12.0,11.333,15322.222,901.111
1380,138.0,124.44,10,0.0,0.0,10,10,0,10,1.0,0.0,7,2,6,15,0.0,0,0.0,0,10,0,28,0,0.6,1,0.2,2,3,12.0,12.0,3200.0,1339.0
1520,152.0,237.99,10,0.0,0.0,10,9,0,10,1.11,0.0,5,0,4,9,2.8,20,0.0,0,10,0,25,0,0.444,1,0.222,2,4,12.0,12.0,5200.0,1820.0
135680,1458.92,5430.72,93,13366.0,143.72,93,87,12,81,1.07,0.129,47,14,19,80,1.2795698924731185,20,5.166666666666667,12,93,12,182,8,0.379,1,0.172,9,25,11.724,12.0,5873.218,1417.701
199390,3021.06,8831.93,66,9752.0,147.76,66,64,9,57,1.03,0.136,31,11,19,61,1.7424242424242424,27,6.777777777777778,27,66,9,171,7,0.5,1,0.188,3,19,12.0,11.953,7357.969,2383.125
640,160.0,227.3,4,100.0,25.0,4,4,0,4,1.0,0.0,1,1,0,2,0.0,0,0.0,0,4,0,6,0,0.5,1,0.0,1,1,12.0,9.0,0.0,772.5
272510,5141.7,6769.15,53,35294.0,665.92,53,52,33,20,1.02,0.623,20,6,4,30,3.792452830188679,20,4.424242424242424,17,53,33,212,14,0.365,1,0.212,6,14,12.0,12.0,13007.115,2402.885
161160,311.12,829.65,518,1040.0,2.01,518,324,0,518,1.6,0.0,4,4,4,12,1.223938223938224,20,0.0,0,518,0,718,0,0.404,1,0.151,1,7,11.852,11.861,2816.759,1656.975
49540,406.07,753.75,122,610.0,5.0,122,43,0,122,2.84,0.0,21,10,14,45,1.1967213114754098,20,0.0,0,122,0,219,0,0.442,1,0.163,3,7,11.721,12.0,1565.581,1725.814
